Modelo;Pooling;AGG;LAYER;out_vec_size;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg;Nhid;Epochs;qtd_layers;paper_name;paper_link;year
deberta-base;AVG-NS_SUML6L;AVG-NS;SUML6L;torch.Size([768]);87,03;89,56;95,22;90,33;91,98;95,00;72,29;88,77;nan;nan;nan;nan;nan;nan
deberta-base;SUM-NS_SUML6L;SUM-NS;SUML6L;torch.Size([768]);83,20;87,23;93,84;88,60;91,21;93,80;68,06;86,56;nan;nan;nan;nan;nan;nan
deberta-base;MAX-NS_SUML6L;MAX-NS;SUML6L;torch.Size([768]);81,74;69,03;92,53;89,37;90,01;93,20;65,04;82,99;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG_SUML6L;CLS+AVG;SUML6L;torch.Size([1536]);87,00;89,99;94,82;90,21;92,48;94,60;74,61;89,10;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM_SUML6L;CLS+SUM;SUML6L;torch.Size([1536]);82,84;87,60;94,56;88,71;91,27;92,00;67,83;86,40;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX_SUML6L;CLS+MAX;SUML6L;torch.Size([1536]);81,87;75,58;92,54;88,78;89,84;93,60;66,84;84,15;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG-NS_SUML6L;CLS+AVG-NS;SUML6L;torch.Size([1536]);87,36;89,72;94,96;90,04;92,59;95,40;74,49;89,22;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM-NS_SUML6L;CLS+SUM-NS;SUML6L;torch.Size([1536]);83,57;87,23;94,45;88,98;91,16;90,00;69,86;86,46;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX-NS_SUML6L;CLS+MAX-NS;SUML6L;torch.Size([1536]);81,82;75,47;92,53;89,28;89,90;93,60;65,16;83,97;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_SUML6L;CLS+AVG+AVG-NS;SUML6L;torch.Size([2304]);87,04;90,28;95,82;90,56;92,59;94,80;75,59;89,53;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_SUML6L;CLS+AVG+SUM-NS;SUML6L;torch.Size([2304]);85,27;88,61;94,74;89,20;91,49;94,00;66,61;87,13;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_SUML6L;CLS+AVG+MAX-NS;SUML6L;torch.Size([2304]);86,13;89,16;94,82;90,28;91,71;95,20;69,91;88,17;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_SUML6L;CLS+SUM+AVG-NS;SUML6L;torch.Size([2304]);83,51;88,69;95,01;89,82;90,72;94,40;72,35;87,79;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_SUML6L;CLS+SUM+SUM-NS;SUML6L;torch.Size([2304]);84,09;88,66;94,89;88,98;91,43;93,40;68,70;87,16;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_SUML6L;CLS+SUM+MAX-NS;SUML6L;torch.Size([2304]);83,81;88,50;94,77;89,28;92,09;94,00;69,86;87,47;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_SUML6L;CLS+MAX+AVG-NS;SUML6L;torch.Size([2304]);86,50;89,19;94,68;90,07;92,53;93,60;67,01;87,65;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_SUML6L;CLS+MAX+SUM-NS;SUML6L;torch.Size([2304]);84,01;89,14;94,51;89,10;92,09;92,80;72,64;87,76;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_SUML6L;CLS+MAX+MAX-NS;SUML6L;torch.Size([2304]);83,48;80,05;92,82;89,33;89,73;93,40;70,49;85,61;nan;nan;nan;nan;nan;nan
deberta-base;CLS_AVGL6L;CLS;AVGL6L;torch.Size([768]);68,03;63,76;77,67;68,74;81,44;41,20;66,49;66,76;nan;nan;nan;nan;nan;nan
deberta-base;AVG_AVGL6L;AVG;AVGL6L;torch.Size([768]);85,00;85,56;94,03;90,01;92,04;91,60;73,68;87,42;nan;nan;nan;nan;nan;nan
deberta-base;SUM_AVGL6L;SUM;AVGL6L;torch.Size([768]);86,77;88,53;94,83;90,00;92,09;95,00;67,94;87,88;nan;nan;nan;nan;nan;nan
deberta-base;MAX_AVGL6L;MAX;AVGL6L;torch.Size([768]);82,55;67,21;92,32;88,78;89,18;86,80;72,46;82,76;nan;nan;nan;nan;nan;nan
deberta-base;AVG-NS_AVGL6L;AVG-NS;AVGL6L;torch.Size([768]);85,03;86,73;94,34;90,10;92,09;90,20;74,49;87,57;nan;nan;nan;nan;nan;nan
deberta-base;SUM-NS_AVGL6L;SUM-NS;AVGL6L;torch.Size([768]);86,46;88,50;94,84;90,25;92,09;95,60;68,29;88,00;nan;nan;nan;nan;nan;nan
deberta-base;MAX-NS_AVGL6L;MAX-NS;AVGL6L;torch.Size([768]);82,55;67,23;92,30;89,27;89,68;87,00;72,35;82,91;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG_AVGL6L;CLS+AVG;AVGL6L;torch.Size([1536]);84,78;87,63;93,89;89,72;92,42;92,00;73,86;87,76;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM_AVGL6L;CLS+SUM;AVGL6L;torch.Size([1536]);87,27;89,24;95,30;89,76;92,20;96,00;69,22;88,43;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX_AVGL6L;CLS+MAX;AVGL6L;torch.Size([1536]);82,97;78,07;91,66;89,00;88,41;87,60;72,06;84,25;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG-NS_AVGL6L;CLS+AVG-NS;AVGL6L;torch.Size([1536]);84,83;87,79;93,68;90,02;92,37;91,60;75,65;87,99;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM-NS_AVGL6L;CLS+SUM-NS;AVGL6L;torch.Size([1536]);87,23;89,80;95,35;89,98;91,82;96,00;69,39;88,51;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX-NS_AVGL6L;CLS+MAX-NS;AVGL6L;torch.Size([1536]);82,97;78,12;91,67;88,75;88,58;87,80;72,06;84,28;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_AVGL6L;CLS+AVG+AVG-NS;AVGL6L;torch.Size([2304]);86,26;88,74;94,82;90,52;92,31;94,60;74,84;88,87;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_AVGL6L;CLS+AVG+SUM-NS;AVGL6L;torch.Size([2304]);87,54;89,91;95,76;90,13;91,98;96,00;71,36;88,95;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_AVGL6L;CLS+AVG+MAX-NS;AVGL6L;torch.Size([2304]);85,78;88,74;94,29;90,28;92,42;94,00;75,59;88,73;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_AVGL6L;CLS+SUM+AVG-NS;AVGL6L;torch.Size([2304]);87,14;89,67;95,82;90,27;92,37;96,20;73,22;89,24;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_AVGL6L;CLS+SUM+SUM-NS;AVGL6L;torch.Size([2304]);86,86;88,93;94,98;89,95;91,98;95,80;73,33;88,83;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_AVGL6L;CLS+SUM+MAX-NS;AVGL6L;torch.Size([2304]);86,81;89,88;96,06;90,06;92,64;96,20;69,86;88,79;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_AVGL6L;CLS+MAX+AVG-NS;AVGL6L;torch.Size([2304]);85,84;88,40;94,33;90,22;92,09;93,40;72,81;88,16;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_AVGL6L;CLS+MAX+SUM-NS;AVGL6L;torch.Size([2304]);87,01;89,72;95,54;90,09;92,26;96,00;66,90;88,22;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_AVGL6L;CLS+MAX+MAX-NS;AVGL6L;torch.Size([2304]);83,07;78,60;92,74;89,22;90,17;93,60;73,91;85,90;nan;nan;nan;nan;nan;nan
deberta-base;CLS_SUML4BL;CLS;SUML4BL;torch.Size([768]);75,45;63,76;84,01;70,75;84,18;42,20;65,86;69,46;nan;nan;nan;nan;nan;nan
deberta-base;AVG_SUML4BL;AVG;SUML4BL;torch.Size([768]);87,45;89,54;94,63;90,18;92,59;94,80;75,30;89,21;nan;nan;nan;nan;nan;nan
deberta-base;SUM_SUML4BL;SUM;SUML4BL;torch.Size([768]);83,55;88,18;93,88;89,01;92,26;95,40;67,01;87,04;nan;nan;nan;nan;nan;nan
deberta-base;MAX_SUML4BL;MAX;SUML4BL;torch.Size([768]);83,90;82,01;92,77;89,43;90,55;91,80;63,77;84,89;nan;nan;nan;nan;nan;nan
deberta-base;AVG-NS_SUML4BL;AVG-NS;SUML4BL;torch.Size([768]);87,38;89,56;94,65;90,45;92,53;95,00;75,36;89,28;nan;nan;nan;nan;nan;nan
deberta-base;SUM-NS_SUML4BL;SUM-NS;SUML4BL;torch.Size([768]);83,64;88,21;93,97;89,29;92,26;94,40;66,61;86,91;nan;nan;nan;nan;nan;nan
deberta-base;MAX-NS_SUML4BL;MAX-NS;SUML4BL;torch.Size([768]);83,86;82,28;92,81;89,48;90,66;91,80;63,77;84,95;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG_SUML4BL;CLS+AVG;SUML4BL;torch.Size([1536]);87,27;90,52;95,16;90,07;92,86;95,00;75,36;89,46;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM_SUML4BL;CLS+SUM;SUML4BL;torch.Size([1536]);84,56;88,90;94,48;89,27;92,20;94,20;64,93;86,93;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX_SUML4BL;CLS+MAX;SUML4BL;torch.Size([1536]);83,29;72,26;92,72;89,12;90,01;92,60;67,77;83,97;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG-NS_SUML4BL;CLS+AVG-NS;SUML4BL;torch.Size([1536]);87,15;90,57;95,33;90,25;92,15;95,40;75,59;89,49;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM-NS_SUML4BL;CLS+SUM-NS;SUML4BL;torch.Size([1536]);84,36;88,80;94,17;89,33;92,15;93,80;67,54;87,16;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX-NS_SUML4BL;CLS+MAX-NS;SUML4BL;torch.Size([1536]);83,67;72,24;92,72;89,12;90,23;92,40;67,71;84,01;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_SUML4BL;CLS+AVG+AVG-NS;SUML4BL;torch.Size([2304]);87,41;90,84;95,41;90,49;92,86;95,60;75,54;89,74;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_SUML4BL;CLS+AVG+SUM-NS;SUML4BL;torch.Size([2304]);86,21;89,64;94,47;90,36;91,98;95,40;69,51;88,22;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_SUML4BL;CLS+AVG+MAX-NS;SUML4BL;torch.Size([2304]);86,38;90,23;94,55;90,30;92,37;92,80;74,09;88,67;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_SUML4BL;CLS+SUM+AVG-NS;SUML4BL;torch.Size([2304]);85,04;89,27;94,48;89,52;91,98;95,80;68,41;87,79;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_SUML4BL;CLS+SUM+SUM-NS;SUML4BL;torch.Size([2304]);85,02;89,59;94,64;88,99;90,55;95,40;68,99;87,60;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_SUML4BL;CLS+SUM+MAX-NS;SUML4BL;torch.Size([2304]);85,21;89,32;94,46;89,21;92,31;93,40;71,71;87,95;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_SUML4BL;CLS+MAX+AVG-NS;SUML4BL;torch.Size([2304]);86,96;89,64;94,81;90,10;92,70;94,80;70,90;88,56;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_SUML4BL;CLS+MAX+SUM-NS;SUML4BL;torch.Size([2304]);85,87;89,45;94,42;89,97;91,60;95,20;66,03;87,51;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_SUML4BL;CLS+MAX+MAX-NS;SUML4BL;torch.Size([2304]);83,36;80,74;92,78;89,47;90,44;94,20;69,86;85,84;nan;nan;nan;nan;nan;nan
deberta-base;CLS_AVGL4BL;CLS;AVGL4BL;torch.Size([768]);68,62;63,76;76,25;68,77;81,82;38,60;66,49;66,33;nan;nan;nan;nan;nan;nan
deberta-base;AVG_AVGL4BL;AVG;AVGL4BL;torch.Size([768]);86,15;88,58;94,11;89,56;92,59;91,80;75,25;88,29;nan;nan;nan;nan;nan;nan
deberta-base;SUM_AVGL4BL;SUM;AVGL4BL;torch.Size([768]);86,44;88,87;94,53;89,51;92,31;95,40;68,23;87,90;nan;nan;nan;nan;nan;nan
deberta-base;MAX_AVGL4BL;MAX;AVGL4BL;torch.Size([768]);83,64;81,32;92,47;89,03;90,06;86,40;72,35;85,04;nan;nan;nan;nan;nan;nan
deberta-base;AVG-NS_AVGL4BL;AVG-NS;AVGL4BL;torch.Size([768]);86,28;88,58;94,28;89,86;92,20;91,60;74,84;88,23;nan;nan;nan;nan;nan;nan
deberta-base;SUM-NS_AVGL4BL;SUM-NS;AVGL4BL;torch.Size([768]);86,60;88,11;94,53;89,85;92,31;95,60;69,57;88,08;nan;nan;nan;nan;nan;nan
deberta-base;MAX-NS_AVGL4BL;MAX-NS;AVGL4BL;torch.Size([768]);83,60;81,32;92,40;89,56;90,12;86,40;72,35;85,11;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG_AVGL4BL;CLS+AVG;AVGL4BL;torch.Size([1536]);86,37;88,61;94,34;89,83;92,75;92,00;75,59;88,50;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM_AVGL4BL;CLS+SUM;AVGL4BL;torch.Size([1536]);86,79;89,80;95,37;89,51;92,31;95,80;67,71;88,18;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX_AVGL4BL;CLS+MAX;AVGL4BL;torch.Size([1536]);83,48;79,79;91,59;88,71;89,79;89,00;73,62;85,14;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG-NS_AVGL4BL;CLS+AVG-NS;AVGL4BL;torch.Size([1536]);86,54;89,06;94,31;89,84;92,48;92,20;76,00;88,63;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM-NS_AVGL4BL;CLS+SUM-NS;AVGL4BL;torch.Size([1536]);86,82;89,72;95,54;89,86;92,15;95,60;67,71;88,20;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX-NS_AVGL4BL;CLS+MAX-NS;AVGL4BL;torch.Size([1536]);83,47;79,79;91,59;89,27;89,79;89,00;73,68;85,23;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+AVG-NS_AVGL4BL;CLS+AVG+AVG-NS;AVGL4BL;torch.Size([2304]);87,02;89,25;94,52;90,24;92,81;93,00;76,75;89,08;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+SUM-NS_AVGL4BL;CLS+AVG+SUM-NS;AVGL4BL;torch.Size([2304]);87,44;90,73;95,13;90,29;92,70;95,80;69,28;88,77;nan;nan;nan;nan;nan;nan
deberta-base;CLS+AVG+MAX-NS_AVGL4BL;CLS+AVG+MAX-NS;AVGL4BL;torch.Size([2304]);86,00;88,74;94,18;90,03;92,86;93,80;75,07;88,67;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+AVG-NS_AVGL4BL;CLS+SUM+AVG-NS;AVGL4BL;torch.Size([2304]);87,22;90,41;95,23;90,02;92,64;95,40;72,12;89,01;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+SUM-NS_AVGL4BL;CLS+SUM+SUM-NS;AVGL4BL;torch.Size([2304]);86,94;90,33;95,11;89,76;91,87;96,00;66,84;88,12;nan;nan;nan;nan;nan;nan
deberta-base;CLS+SUM+MAX-NS_AVGL4BL;CLS+SUM+MAX-NS;AVGL4BL;torch.Size([2304]);87,05;90,47;95,23;90,15;92,31;94,40;72,23;88,83;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+AVG-NS_AVGL4BL;CLS+MAX+AVG-NS;AVGL4BL;torch.Size([2304]);85,90;89,22;94,22;90,09;92,81;94,80;73,86;88,70;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+SUM-NS_AVGL4BL;CLS+MAX+SUM-NS;AVGL4BL;torch.Size([2304]);87,20;90,81;94,90;90,06;92,26;96,00;67,94;88,45;nan;nan;nan;nan;nan;nan
deberta-base;CLS+MAX+MAX-NS_AVGL4BL;CLS+MAX+MAX-NS;AVGL4BL;torch.Size([2304]);84,07;79,63;92,59;89,37;90,83;93,20;73,97;86,24;nan;nan;nan;nan;nan;nan
PromptEOL (Lllama2-7B);llm;nan;nan;nan;90,63;92,87;96,32;91,19;95,00;95,40;75,19;90,94;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
PromptEOL + TP (Ours) (Lllama2-7B);llm;nan;nan;nan;90,90;93,35;96,58;91,51;95,50;96,00;76,12;91,42;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
Pretended CoT (Lllama2-7B);llm;nan;nan;nan;90,10;92,24;96,32;91,54;95,11;94,20;75,77;90,75;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
Pretended CoT + TP (Ours) (Lllama2-7B);llm;nan;nan;nan;90,45;92,61;96,52;91,59;95,77;96,00;76,81;91,39;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
Knowledge (Lllama2-7B);llm;nan;nan;nan;89,84;93,03;96,21;91,54;94,78;97,20;73,91;90,93;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
Knowledge + TP (Ours) (Lllama2-7B);llm;nan;nan;nan;90,39;93,32;96,31;91,56;94,51;97,60;76,06;91,39;decoder-only;not;not;Token Prepending: A Training-Free Approach for Eliciting Better Sentence Embeddings from LLMs;https://arxiv.org/pdf/2412.11556;2024,00
CLTC-RoBERTa=Base;nan;nan;nan;nan;86,86;92,35;94,31;89,91;91,36;87,73;77,14;88,52;nan;5;12;Contrastive Learning with Transformer Initialization and Clustering Prior for Text Representation;https://pdf.sciencedirectassets.com/272229/1-s2.0-S1568494624X00150/1-s2.0-S1568494624009360/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJGMEQCIEt6YbTt65ukKfTD3bu0kD705kuMYotz8gH0y7JjH8PJAiAEr557NOLDnxNIr7FcHO9eFgXM99FsYPWXZ07TG7bc5yqzBQhfEAUaDDA1OTAwMzU0Njg2NSIMDxZIcdb6ZQ%2FZeUVkKpAF8MiOfNC9fUorVMiLkFp5l7ZbqlXZiS%2BFLNIV8TA0Hw%2FezqUgN1LqtHhjjrOZcARLECIAVv8LKA955vX%2BMSRK564pOJSF6%2FNkQOSEpiODriMyex2RUubgBahKySP%2BOKrBkZWrIm7cRqVBArRPrjgUJNZiOrzdjyxzs6hIfF3PApo8egsTnEvwIGZdfVHvOGgFZFnovHjMGXn%2BI%2FR8rnpxDXt7yk2V7OncGyRt%2F5lY%2F02yAO%2F1%2FqT5JGT5abPaw3NzUUTIBi9IXH5G4%2FFc2XyjvZaXS%2BpuF9EBC90xtWNssoOda%2FbNDjDp8m6jfGDv%2B3bwlKDHO4WS8zBv9JOpVEI9nsb3OuUjsKs%2BzVN1kxdcx6koalu2N81BXL6YATMbJ6LldHsxxIbwPN9Tpg8Tyxl0GCSRI12KZaUlaglbMg1lbnzUmaC4OXz3vPwModQvO0RSHaYblAOeyEkJXQpwNWdvXePBmqzmn5VnvOjkQmg7iOMPMWx9IklvvLg%2FtPcFqBFxTnS83NmlLUjnrZlcWQbR9sT9hWCm343bzs4fYqychxpcipDO2%2BYnX4S22lqCnB2bafcV9G9dd0SIQp0eHiHoMsDulmh%2F2LwaI4wI1kypZX7uARysVCx%2BjTLxcpX157ZnNtK601Dh%2BxH6IEimg2HgfkzHebxHubblBJf%2FaAy78tE41BaQP0KV1TRxDwuLfCkeqsfySigjx0u1hwYwT7J1p8oPyHTWsI%2Bj9s083MLd9y7mF6hRfQcVWJus%2BPiZ3F5s82OYNCvzgYYEiEj8MZJvVGVolqYX7fm60kHzoE1v7MODTSxctuWn2uS%2Bq5zvX1T2aJPm0%2BVW5ZUy4dlZNpiIJh%2FU1AHU75wfHjCdQINPMl0w1db0uwY6sgHbneRk1rzfYHRZEcTXvk6r0WEH1D7vicj8DUliYsMz0KiXCjctd8NBTt3QKWXuRg8ezpsjNnpaTc2rdPRBOFbBGZiC9C27fPQfFX3bIQOtHg22S1OlS7xnXzl8L2zLDjGWpQ2rQLxZlKvTKOetrCJ0bAmaUQZ%2F1SOddJy82PQQGkXuGuv8BGcX8haCOdN%2F7KFhvLq259B4IMDFV%2FFtDdTZ%2FDQx1HDeckxR2b1zo8Ua9oYc&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250107T144844Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XBHDU5E%2F20250107%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=edbb9cc3d813369400ff81cf591617d36a2787afdd3f1d062323cb75e99a6b6c&hash=a2bd9cf96d3f2baca4513b6ba642468ef90722c23b27e7d838f6c66226b25901&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1568494624009360&tid=spdf-e9c0dabd-56d1-4ed8-8469-ed407edb6140&sid=ccaa471015b9c34b2c9a85b4f70dd3a96a3agxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=04125e0203560c555202&rr=8fe4c01a9abe6d42&cc=br;2024,00
CLTC-BERT=Base;nan;nan;nan;nan;83,75;89,88;95,11;88,29;88,36;89,99;74,63;87,14;nan;5;12;Contrastive Learning with Transformer Initialization and Clustering Prior for Text Representation;https://pdf.sciencedirectassets.com/272229/1-s2.0-S1568494624X00150/1-s2.0-S1568494624009360/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJGMEQCIEt6YbTt65ukKfTD3bu0kD705kuMYotz8gH0y7JjH8PJAiAEr557NOLDnxNIr7FcHO9eFgXM99FsYPWXZ07TG7bc5yqzBQhfEAUaDDA1OTAwMzU0Njg2NSIMDxZIcdb6ZQ%2FZeUVkKpAF8MiOfNC9fUorVMiLkFp5l7ZbqlXZiS%2BFLNIV8TA0Hw%2FezqUgN1LqtHhjjrOZcARLECIAVv8LKA955vX%2BMSRK564pOJSF6%2FNkQOSEpiODriMyex2RUubgBahKySP%2BOKrBkZWrIm7cRqVBArRPrjgUJNZiOrzdjyxzs6hIfF3PApo8egsTnEvwIGZdfVHvOGgFZFnovHjMGXn%2BI%2FR8rnpxDXt7yk2V7OncGyRt%2F5lY%2F02yAO%2F1%2FqT5JGT5abPaw3NzUUTIBi9IXH5G4%2FFc2XyjvZaXS%2BpuF9EBC90xtWNssoOda%2FbNDjDp8m6jfGDv%2B3bwlKDHO4WS8zBv9JOpVEI9nsb3OuUjsKs%2BzVN1kxdcx6koalu2N81BXL6YATMbJ6LldHsxxIbwPN9Tpg8Tyxl0GCSRI12KZaUlaglbMg1lbnzUmaC4OXz3vPwModQvO0RSHaYblAOeyEkJXQpwNWdvXePBmqzmn5VnvOjkQmg7iOMPMWx9IklvvLg%2FtPcFqBFxTnS83NmlLUjnrZlcWQbR9sT9hWCm343bzs4fYqychxpcipDO2%2BYnX4S22lqCnB2bafcV9G9dd0SIQp0eHiHoMsDulmh%2F2LwaI4wI1kypZX7uARysVCx%2BjTLxcpX157ZnNtK601Dh%2BxH6IEimg2HgfkzHebxHubblBJf%2FaAy78tE41BaQP0KV1TRxDwuLfCkeqsfySigjx0u1hwYwT7J1p8oPyHTWsI%2Bj9s083MLd9y7mF6hRfQcVWJus%2BPiZ3F5s82OYNCvzgYYEiEj8MZJvVGVolqYX7fm60kHzoE1v7MODTSxctuWn2uS%2Bq5zvX1T2aJPm0%2BVW5ZUy4dlZNpiIJh%2FU1AHU75wfHjCdQINPMl0w1db0uwY6sgHbneRk1rzfYHRZEcTXvk6r0WEH1D7vicj8DUliYsMz0KiXCjctd8NBTt3QKWXuRg8ezpsjNnpaTc2rdPRBOFbBGZiC9C27fPQfFX3bIQOtHg22S1OlS7xnXzl8L2zLDjGWpQ2rQLxZlKvTKOetrCJ0bAmaUQZ%2F1SOddJy82PQQGkXuGuv8BGcX8haCOdN%2F7KFhvLq259B4IMDFV%2FFtDdTZ%2FDQx1HDeckxR2b1zo8Ua9oYc&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250107T144844Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XBHDU5E%2F20250107%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=edbb9cc3d813369400ff81cf591617d36a2787afdd3f1d062323cb75e99a6b6c&hash=a2bd9cf96d3f2baca4513b6ba642468ef90722c23b27e7d838f6c66226b25901&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1568494624009360&tid=spdf-e9c0dabd-56d1-4ed8-8469-ed407edb6140&sid=ccaa471015b9c34b2c9a85b4f70dd3a96a3agxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=04125e0203560c555202&rr=8fe4c01a9abe6d42&cc=br;2024,00
